0|iata_code|1|city_rus|2|city_eng
AFD|AFD|Порт Альфред|Порт Альфред|Port Alfred|Port Alfred
AFF|AFF|Колорадо Спрингз|Колорадо Спрингз|Colorado Springs|Colorado Springs
AFI|AFI|Амалфи|Амалфи|Amalfi|Amalfi
AFK|AFK|||Ampara|Ampara
AFL|AFL|Алта-Флореста|Алта-Флореста|Alta Floresta|Alta Floresta
AFN|AFN|||Jaffrey|Jaffrey
AFO|AFO|Афтон|Афтон|Afton|Afton
AFR|AFR|Афоре|Афоре|Afore|Afore
AFS|AFS|Зарафшан|Зарафшан|Zarafshan|Zarafshan
AFT|AFT|Афутара|Афутара|Afutara|Afutara
AFW|AFW|||Fort Worth, TX|Fort Worth, TX
AFY|AFY|Афион|Афион|Afyon|Afyon
AFZ|AFZ|||Sabzevar|Sabzevar
AGA|AGA|Агадир|Агадир|Agadir|Agadir
AGB|AGB|Мюнхен|Мюнхен|Munich|Munich
AGC|AGC|Питтсборо|Питтсборо|Pittsburgh|Pittsburgh
AGD|AGD|Ангги|Ангги|Anggi|Anggi
AGE|AGE|Вангерооге|Вангерооге|Wangerooge|Wangerooge
AGF|AGF|Аген|Аген|Agen|Agen
AGG|AGG|Ангорам|Ангорам|Angoram|Angoram
AGH|AGH|||Angelholm/Helsingborg|Angelholm/Helsingborg
AGI|AGI|Вагенинген|Вагенинген|Wageningen|Wageningen
AGJ|AGJ|Агуни|Агуни|Aguni|Aguni
AGK|AGK|Кагуа|Кагуа|Kagua|Kagua
AGL|AGL|Ванигела|Ванигела|Wanigela|Wanigela
AGM|AGM|||Tasiilaq|Tasiilaq
AGN|AGN|||Angoon|Angoon
AGO|AGO|||Magnolia|Magnolia
AGP|AGP|Малага|Малага|Malaga|Malaga
AGQ|AGQ|Агринио|Агринио|Agrinion|Agrinion
AGR|AGR|Агра|Агра|Agra|Agra
AGS|AGS|||Augusta|Augusta
AGT|AGT|Кудад-дель-Эсте|Кудад-дель-Эсте|Ciudad Del Este|Ciudad Del Este
AGU|AGU|Агуаскалиентес|Агуаскалиентес|Aguascalientes|Aguascalientes
AGV|AGV|Акарикуа|Акарикуа|Acarigua|Acarigua
AGW|AGW|||Agnew|Agnew
AGX|AGX|Агатти-Айленд|Агатти-Айленд|Agatti Island|Agatti Island
AGY|AGY|||Argyle Downs|Argyle Downs
AGZ|AGZ|Аггенейз|Аггенейз|Aggeneys|Aggeneys
AHA|AHA|Окинава|Окинава|Okinawa|Okinawa
AHB|AHB|Абха|Абха|Abha|Abha
AHC|AHC|||Herlong|Herlong
AHD|AHD|Ардмор|Ардмор|Ardmore|Ardmore
AHE|AHE|||Ahe|Ahe
AHF|AHF|||Arapahoe|Arapahoe
AHH|AHH|||Amery|Amery
AHI|AHI|Амахаи|Амахаи|Amahai|Amahai
AHL|AHL|Аисхалтон|Аисхалтон|Aishalton|Aishalton
AHN|AHN|Афины|Афины|Athens|Athens
AHO|AHO|||Alghero|Alghero
AHS|AHS|Ахуас|Ахуас|Ahuas|Ahuas
AHT|AHT|Ам-Тиман|Ам-Тиман|Amchitka|Amchitka
AHU|AHU|||Al Hoceima|Al Hoceima
AHY|AHY|Амбатолахи|Амбатолахи|Ambatolahy|Ambatolahy
AHZ|AHZ|||Alpe D Huez|Alpe D Huez
AIA|AIA|||Alliance|Alliance
AIB|AIB|||Anita Bay|Anita Bay
AIC|AIC|||Airok, Ailinglaplap|Airok, Ailinglaplap
AID|AID|||Anderson|Anderson
AIE|AIE|Айоме|Айоме|Aiome|Aiome
AIF|AIF|||Assis|Assis
AIG|AIG|Ялинга|Ялинга|Yalinga|Yalinga
AIH|AIH|||Aiambak|Aiambak
AII|AII|||Alisabieh|Alisabieh
AIK|AIK|||Aiken|Aiken
AIL|AIL|Айлиганди|Айлиганди|Ailigandi|Ailigandi
AIM|AIM|||Ailuk Island|Ailuk Island
AIN|AIN|||Wainwright|Wainwright
AIO|AIO|||Atlantic|Atlantic
AIP|AIP|||Ailinglapalap Island|Ailinglapalap Island
AIR|AIR|||Aripuana|Aripuana
AIS|AIS|Ароре-Айленд|Ароре-Айленд|Arorae Island|Arorae Island
AIT|AIT|Аитутаки|Аитутаки|Aitutaki|Aitutaki
AIU|AIU|||Atiu Island|Atiu Island
AIV|AIV|||Aliceville|Aliceville
AIW|AIW|||Ai-ais|Ai-ais
AIY|AIY|Атлантик Сити|Атлантик Сити|Atlantic City|Atlantic City
AIZ|AIZ|||Kaiser/Lake Ozark|Kaiser/Lake Ozark
AJA|AJA|Аяччио|Аяччио|Ajaccio|Ajaccio
AJF|AJF|||Sakaka Al Jouf|Sakaka Al Jouf
AJI|AJI|Агри|Агри|Agri|Agri
AJJ|AJJ|Акжужт|Акжужт|Akjoujt|Akjoujt
AJK|AJK|||Araak|Araak
AJL|AJL|Айзаул|Айзаул|Aizawl|Aizawl
AJN|AJN|Анжуан|Анжуан|Anjouan|Anjouan
AJO|AJO|Альюф|Альюф|Aljouf|Aljouf
AJR|AJR|Арвидсьяур|Арвидсьяур|Arvidsjaur|Arvidsjaur
AJS|AJS|Абреохос|Абреохос|Abreojos|Abreojos
AJU|AJU|Аракайю|Аракайю|Aracaju|Aracaju
AJY|AJY|||Agades|Agades
AKA|AKA|Анькан|Анькан|Ankang|Ankang
AKB|AKB|||Atka|Atka
AKC|AKC|||Akron/Canton|Akron/Canton
AKD|AKD|Акола|Акола|Akola|Akola
AKE|AKE|Акиени|Акиени|Akieni|Akieni
AKF|AKF|Куфра|Куфра|Kufrah|Kufrah
AKG|AKG|Ангуганак|Ангуганак|Anguganak|Anguganak
AKH|AKH|||Al Kharj|Al Kharj
AKI|AKI|||Akiak|Akiak
AKJ|AKJ|Асахикава|Асахикава|Asahikawa|Asahikawa
AKK|AKK|||Akhiok|Akhiok
AKL|AKL|Окленд|Окленд|Auckland|Auckland
AKM|AKM|Закума|Закума|Zakouma|Zakouma
AKN|AKN|||King Salmon|King Salmon
AKO|AKO|Akron|Akron|Akron, CO|Akron, CO
AKP|AKP|||Anaktuvuk|Anaktuvuk
AKQ|AKQ|Астраксетра|Астраксетра|Astraksetra|Astraksetra
AKR|AKR|Акере|Акере|Akure|Akure
AKT|AKT|Акротири|Акротири|Akrotiri|Akrotiri
AKU|AKU|Аксу|Аксу|Aksu|Aksu
AKV|AKV|||Akulivik|Akulivik
AKW|AKW|||Aghajari|Aghajari
AKX|AKX|Актюбинск|Актюбинск|Aktyubinsk|Aktyubinsk
AKY|AKY|||Sittwe|Sittwe
ALA|ALA|Алматы|Алматы|Almaty|Almaty
ALB|ALB|Олбани|Олбани|Albany|Albany
ALC|ALC|Аликанте|Аликанте|Alicante|Alicante
ALD|ALD|Алерта|Алерта|Alerta|Alerta
ALE|ALE|||Alpine|Alpine
ALF|ALF|Алта|Алта|Alta|Alta
ALG|ALG|||Algiers|Algiers
ALH|ALH|Олбани|Олбани|Albany|Albany
ALI|ALI|||Alice|Alice
ALJ|ALJ|Александер-Бей|Александер-Бей|Alexander Bay|Alexander Bay
ALK|ALK|Асела|Асела|Asela|Asela
ALL|ALL|Албенга|Албенга|Albenga|Albenga
ALM|ALM|Аламогордо|Аламогордо|Alamogordo|Alamogordo
ALN|ALN|||Alton|Alton
ALO|ALO|Ватерло|Ватерло|Waterloo|Waterloo
ALP|ALP|Алеппо|Алеппо|Aleppo|Aleppo
ALQ|ALQ|||Alegrete|Alegrete
ALR|ALR|Александра|Александра|Alexandra|Alexandra
ALS|ALS|Аламоса|Аламоса|Alamosa|Alamosa
ALT|ALT|||Alenquer|Alenquer
ALU|ALU|Алула|Алула|Alula|Alula
ALV|ALV|Андорра-ла-Велла|Андорра-ла-Велла|Andorra La Vella|Andorra La Vella
ALW|ALW|||Walla Walla|Walla Walla
ALX|ALX|||Alexander City|Alexander City
ALY|ALY|Александрия|Александрия|Alexandria|Alexandria
ALZ|ALZ|||Alitak|Alitak
AMA|AMA|||Amarillo, TX|Amarillo, TX
AMB|AMB|Амбилобе|Амбилобе|Ambilobe|Ambilobe
AMC|AMC|||Am Timan|Am Timan
AMD|AMD|Ахмедабад|Ахмедабад|Ahmedabad|Ahmedabad
AME|AME|Альто-Молокуэ|Альто-Молокуэ|Alto Molocue|Alto Molocue
AMF|AMF|Ама|Ама|Ama|Ama
AMG|AMG|||Amboin|Amboin
AMH|AMH|Арба-Минч|Арба-Минч|Arba Mintch|Arba Mintch
AMI|AMI|||Mataram|Mataram
AMJ|AMJ|||Almenara|Almenara
AMK|AMK|Дуранго|Дуранго|Durango|Durango
AML|AML|||Puerto Armuellas|Puerto Armuellas
AMM|AMM|Амман|Амман|Amman|Amman
AMN|AMN|||Alma|Alma
AMO|AMO|Мао|Мао|Mao|Mao
